keyword,slug,slot,card_title,photo_description
"Emergency plumber","emergency-plumber",4,"No hot water","Plumber diagnosing a water heater with a flashlight"
"Emergency plumber","emergency-plumber",5,"Overflowing fixtures","Overflowing toilet/sink being shut off fast"
"Emergency plumber","emergency-plumber",6,"24/7 rapid response","Service van/plumber arriving at night, headlights on"
"Burst pipe repair","burst-pipe-repair",1,"Emergency shut-off & containment","Hand closing the main water shut-off valve"
"Burst pipe repair","burst-pipe-repair",2,"Pipe location & diagnosis","Plumber inspecting pipe inside an open wall"
"Burst pipe repair","burst-pipe-repair",3,"Copper & PEX repair","Cutting and joining copper or PEX pipe"
"Burst pipe repair","burst-pipe-repair",4,"Frozen pipe repair","Frozen/burst pipe with insulation, plumber working"
"Burst pipe repair","burst-pipe-repair",5,"Repiping for repeat breaks","New PEX/copper lines run along the joists"
"Burst pipe repair","burst-pipe-repair",6,"Water damage coordination","Plumber documenting a leak with a phone camera"
"Leaking pipe / leak repair","leak-repair",1,"Under-sink & fixture leaks","Plumber fixing a drip under a sink"
"Leaking pipe / leak repair","leak-repair",2,"Pipe joint & fitting repair","Resealing a pipe joint/fitting with a wrench"
"Leaking pipe / leak repair","leak-repair",3,"Hidden & in-wall leaks","Small wall opening exposing a leaking pipe"
"Leaking pipe / leak repair","leak-repair",4,"Slab leaks","Plumber with leak-detection gear on the floor"
"Leaking pipe / leak repair","leak-repair",5,"Outdoor & hose-bib leaks","Repairing an exterior hose bib/spigot"
"Leaking pipe / leak repair","leak-repair",6,"Leak detection","Acoustic leak-detection device on a wall/floor"
"Water heater repair","water-heater-repair",1,"No-hot-water diagnosis","Plumber testing a water heater with a multimeter"
"Water heater repair","water-heater-repair",2,"Thermostat & element replacement","Hand replacing a heating element"
"Water heater repair","water-heater-repair",3,"Leaking tank assessment","Water pooling at the base of a tank, plumber checking"
"Water heater repair","water-heater-repair",4,"Sediment flush & maintenance","Flushing a water heater through a drain hose"
"Water heater repair","water-heater-repair",5,"Gas & electric water heaters","Gas and electric tank units side by side"
"Water heater repair","water-heater-repair",6,"Same-day replacement","New water heater installed and connected"
"Garbage disposal repair","garbage-disposal-repair",1,"Jam & reset repair","Hand using the disposal hex key under the sink"
"Garbage disposal repair","garbage-disposal-repair",2,"Leak repair","Sealing the disposal flange/connections"
"Garbage disposal repair","garbage-disposal-repair",3,"Clog clearing","Clearing the drain line below the disposal"
"Garbage disposal repair","garbage-disposal-repair",4,"Disposal replacement","Removing an old under-sink disposal unit"
"Garbage disposal repair","garbage-disposal-repair",5,"New disposal installation","Mounting and wiring a new disposal"
"Garbage disposal repair","garbage-disposal-repair",6,"Drain & connection check","Checking the P-trap and drain connection"
"Sump pump repair","sump-pump-repair",1,"Pump testing & inspection","Plumber testing a sump pump in the pit"
"Sump pump repair","sump-pump-repair",2,"Switch & float repair","Adjusting the float switch on the pump"
"Sump pump repair","sump-pump-repair",3,"Pump replacement","Lifting an old pump out of the sump pit"
"Sump pump repair","sump-pump-repair",4,"Backup pump installation","Battery backup unit installed beside the sump"
"Sump pump repair","sump-pump-repair",5,"Discharge line clearing","Clearing the discharge line outside"
"Sump pump repair","sump-pump-repair",6,"New sump pit installation","Newly installed sump pit and pump, clean"
"Faucet repair / install","faucet-repair",1,"Drip & leak repair","Close-up of a dripping faucet being repaired"
"Faucet repair / install","faucet-repair",2,"Cartridge replacement","Installing a new faucet cartridge"
"Faucet repair / install","faucet-repair",3,"Low-pressure fixes","Cleaning/clearing a clogged faucet aerator"
"Faucet repair / install","faucet-repair",4,"Kitchen faucet install","New pull-down kitchen faucet installed"
"Faucet repair / install","faucet-repair",5,"Bathroom faucet install","New bathroom sink faucet installed"
"Faucet repair / install","faucet-repair",6,"Outdoor spigot repair","Repairing an outdoor hose bib"
"Water heater replacement / install","water-heater-installation",1,"Tank water heater install","New tank water heater being installed"
"Water heater replacement / install","water-heater-installation",2,"Gas & electric options","Gas and electric tank options side by side"
"Water heater replacement / install","water-heater-installation",3,"Sizing consultation","Plumber advising a homeowner by the heater"
"Water heater replacement / install","water-heater-installation",4,"Old unit removal","Hauling out the old water heater"
"Water heater replacement / install","water-heater-installation",5,"Code & permit handling","Code connections with a permit tag on the new unit"
"Water heater replacement / install","water-heater-installation",6,"Tankless upgrades","Wall-mounted tankless shown as an upgrade"
"Tankless water heater install","tankless-installation",1,"Tankless sizing","Plumber measuring/spec’ing at the install wall"
"Tankless water heater install","tankless-installation",2,"Gas tankless installation","Gas tankless unit mounted and vented"
"Tankless water heater install","tankless-installation",3,"Electric tankless installation","Compact electric tankless unit installed"
"Tankless water heater install","tankless-installation",4,"Tank-to-tankless conversion","Old tank removed, tankless going in"
"Tankless water heater install","tankless-installation",5,"Descaling & maintenance","Descaling kit hooked to a tankless unit"
"Tankless water heater install","tankless-installation",6,"Recirculation options","Recirculation pump/lines at the unit"
"Repiping / whole-house repipe","repiping",1,"Whole-house repipe","New PEX manifold and lines running through the house"
"Repiping / whole-house repipe","repiping",2,"Partial repipe","Replacing a bad section of old pipe"
"Repiping / whole-house repipe","repiping",3,"PEX & copper options","PEX and copper pipe runs/samples"
"Repiping / whole-house repipe","repiping",4,"Galvanized replacement","Old galvanized pipe beside bright new pipe"
"Repiping / whole-house repipe","repiping",5,"Minimal-disruption access","Neat, small drywall access cut"
"Repiping / whole-house repipe","repiping",6,"Drain & sewer repiping","New drain/sewer pipe being installed"
"Leak detection","leak-detection",1,"Acoustic leak location","Plumber using acoustic listening gear"
"Leak detection","leak-detection",2,"Slab leak detection","Leak-detection equipment on a slab floor"
"Leak detection","leak-detection",3,"Under-slab & in-wall","Tracing a line along a wall with a locator"
"Leak detection","leak-detection",4,"Camera line inspection","Pipe camera and monitor in use"
"Leak detection","leak-detection",5,"Pressure testing","Pressure gauge on an isolated line"
"Leak detection","leak-detection",6,"Clear diagnosis & quote","Plumber showing findings to a homeowner on a tablet"
"Slab leak repair","slab-leak-repair",1,"Slab leak location","Locator/acoustic gear on the floor over the slab"
"Slab leak repair","slab-leak-repair",2,"Spot repair","Small access cut in the slab, pipe repair"
"Slab leak repair","slab-leak-repair",3,"Pipe rerouting","New line rerouted overhead/through a wall"
"Slab leak repair","slab-leak-repair",4,"Repipe when needed","Fresh lines replacing failed slab pipe"
"Slab leak repair","slab-leak-repair",5,"Hot & cold line repair","Repair on hot/cold supply lines"
"Slab leak repair","slab-leak-repair",6,"Restoration coordination","Documenting the repaired area"
"Sewer line repair / replacement","sewer-line-repair",1,"Camera sewer inspection","Sewer camera feed on the monitor"
"Sewer line repair / replacement","sewer-line-repair",2,"Sewer line clearing","Clearing a main sewer line at the cleanout"
"Sewer line repair / replacement","sewer-line-repair",3,"Spot & section repair","Excavated section of sewer pipe repaired"
"Sewer line repair / replacement","sewer-line-repair",4,"Sewer line replacement","New sewer pipe laid in a trench"
"Sewer line repair / replacement","sewer-line-repair",5,"Root intrusion removal","Roots pulled from a sewer pipe"
"Sewer line repair / replacement","sewer-line-repair",6,"Trenchless options","Trenchless lining/bursting equipment"
"Sewer / drain jetting (hydro jetting)","hydro-jetting",1,"Kitchen & grease lines","Jetting a grease-caked kitchen line"
"Sewer / drain jetting (hydro jetting)","hydro-jetting",2,"Main sewer jetting","Jetting hose in a main sewer cleanout"
"Sewer / drain jetting (hydro jetting)","hydro-jetting",3,"Root cutting","Jet nozzle cutting roots inside a pipe"
"Sewer / drain jetting (hydro jetting)","hydro-jetting",4,"Pre-jet camera inspection","Camera check before jetting"
"Sewer / drain jetting (hydro jetting)","hydro-jetting",5,"Preventive maintenance jetting","Scheduled maintenance jetting at a cleanout"
"Sewer / drain jetting (hydro jetting)","hydro-jetting",6,"Post-jet verification","Clean pipe interior shown on the camera monitor"
"Gas line repair / install","gas-line-service",1,"Gas leak repair","Plumber testing a gas line connection with a detector"
"Gas line repair / install","gas-line-service",2,"New gas line installation","Running a new black-iron/CSST gas line"
"Gas line repair / install","gas-line-service",3,"Appliance hookups","Connecting a gas range/dryer"
"Gas line repair / install","gas-line-service",4,"Line extensions","Extending a gas line for an outdoor grill/kitchen"
"Gas line repair / install","gas-line-service",5,"Pressure & safety testing","Gas pressure gauge on the line"
"Gas line repair / install","gas-line-service",6,"Code & permit handling","Inspected gas line with a permit tag"
"Bathroom remodel plumbing","bathroom-plumbing",1,"Fixture installation","Setting a new sink/tub/toilet in a remodel"
"Bathroom remodel plumbing","bathroom-plumbing",2,"Shower & tub valves","Installing a shower valve in an open wall"
"Bathroom remodel plumbing","bathroom-plumbing",3,"Drain relocation","Re-routing a drain in the subfloor"
"Bathroom remodel plumbing","bathroom-plumbing",4,"Supply line updates","New supply lines run to a vanity"
"Bathroom remodel plumbing","bathroom-plumbing",5,"Vanity & sink plumbing","Connecting vanity/sink plumbing"
"Bathroom remodel plumbing","bathroom-plumbing",6,"Remodel rough-in","Plumbing rough-in in framed bathroom walls"
"Water softener / filtration install","water-treatment",1,"Water testing","Testing water hardness with a test kit"
"Water softener / filtration install","water-treatment",2,"Water softener install","Softener tank and brine tank installed"
"Water softener / filtration install","water-treatment",3,"Whole-house filtration","Whole-house filter on the main line"
"Water softener / filtration install","water-treatment",4,"Drinking water systems","Under-sink reverse-osmosis system installed"
"Water softener / filtration install","water-treatment",5,"Salt-free conditioners","Salt-free conditioner unit on the wall"
"Water softener / filtration install","water-treatment",6,"Maintenance & media swaps","Replacing filter media/cartridge"
